,OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,BsmtQual,TotalBsmtSF,1stFlrSF,KitchenQual,FullBath,GarageFinish,TotRmsAbvGrd,YearBuilt,YearRemodAdd,MasVnrArea,SalePrice
0,6,1710,2,2,548,2,856,856,2,2,1,8,2003,2003,196.0,208500
1,5,1262,2,3,460,2,1262,1262,3,2,1,6,1976,1976,0.0,181500
2,6,1786,2,2,608,2,920,920,2,2,1,6,2001,2002,162.0,223500
3,6,1717,3,3,642,3,756,961,2,1,2,7,1915,1970,0.0,140000
4,7,2198,3,2,836,2,1145,1145,2,2,1,9,2000,2000,350.0,250000
5,4,1362,2,3,480,2,796,796,3,1,2,5,1993,1995,0.0,143000
7,6,2090,2,3,484,2,1107,1107,3,2,1,7,1973,1973,240.0,200000
8,6,1774,2,3,468,3,952,1022,3,2,2,8,1931,1950,0.0,129900
9,4,1077,1,3,205,3,991,1077,3,1,1,5,1939,1950,0.0,118000
10,4,1040,1,3,384,3,1040,1040,3,1,2,5,1965,1965,0.0,129500
12,4,912,1,3,352,3,912,912,3,1,2,4,1962,1962,0.0,144000
13,6,1494,3,2,840,2,1494,1494,2,2,1,7,2006,2007,306.0,279500
14,5,1253,1,3,352,3,1253,1253,3,1,1,5,1960,1960,212.0,157000
15,6,854,2,3,576,3,832,854,3,1,2,5,1929,2001,0.0,132000
16,5,1004,2,3,480,3,1004,1004,3,1,0,5,1970,1970,180.0,149000
18,4,1114,2,3,576,3,1114,1114,2,1,2,6,2004,2004,0.0,159000
19,4,1339,1,3,294,3,1029,1339,3,1,2,6,1958,1965,0.0,139000
21,6,1108,1,3,280,3,637,1108,2,1,2,6,1930,1950,0.0,139400
22,7,1795,2,2,534,2,1777,1795,2,2,1,7,2002,2002,281.0,230000
23,4,1060,2,3,572,2,1040,1060,3,1,2,6,1976,1976,0.0,129900
24,4,1060,1,3,270,3,1060,1060,2,1,2,6,1968,2001,0.0,154000
26,4,900,2,3,576,3,900,900,2,1,2,5,1951,2000,0.0,134800
28,4,1600,1,3,319,3,1484,1600,3,1,1,6,1957,1997,0.0,207500
29,3,520,1,3,240,3,520,520,1,1,2,4,1927,1950,0.0,68500
30,3,1317,1,3,250,3,649,649,3,1,2,6,1920,1950,0.0,40000
31,4,1228,1,3,271,3,1228,1228,2,1,2,6,1966,2006,0.0,149350
33,4,1700,2,3,447,3,1398,1700,2,1,1,6,1959,1959,0.0,165500
36,4,1097,2,3,672,2,1097,1097,3,1,2,6,1994,1995,0.0,145000
38,4,1057,1,3,246,3,1057,1057,2,1,2,5,1953,2007,0.0,109000
40,5,1324,2,3,440,3,1088,1324,3,2,1,6,1965,1965,101.0,160000
41,4,1328,1,3,308,3,1350,1328,3,1,1,5,1959,1959,0.0,170000
42,4,884,2,3,504,2,840,884,2,1,1,5,1983,1983,0.0,144000
43,4,938,1,3,308,2,938,938,3,1,2,5,1975,1980,0.0,130250
44,4,1150,1,3,300,3,1150,1150,3,1,1,6,1959,1959,0.0,141000
47,7,1656,3,2,826,2,1656,1656,2,2,1,7,2006,2006,0.0,249700
48,3,1452,0,3,0,3,736,736,3,2,3,8,1920,2008,0.0,113000
49,4,955,1,3,386,3,955,955,3,1,2,6,1966,1966,0.0,127000
50,5,1470,2,3,388,2,794,794,3,2,0,6,1997,1997,0.0,177000
