OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,BsmtQual,TotalBsmtSF,1stFlrSF,KitchenQual,FullBath,GarageFinish,TotRmsAbvGrd,YearBuilt,YearRemodAdd,MasVnrArea,SalePrice
6,1710,2,2,548,2,856,856,2,2,1,8,2003,2003,196.0,208500
5,1262,2,3,460,2,1262,1262,3,2,1,6,1976,1976,0.0,181500
6,1786,2,2,608,2,920,920,2,2,1,6,2001,2002,162.0,223500
6,1717,3,3,642,3,756,961,2,1,2,7,1915,1970,0.0,140000
7,2198,3,2,836,2,1145,1145,2,2,1,9,2000,2000,350.0,250000
4,1362,2,3,480,2,796,796,3,1,2,5,1993,1995,0.0,143000
7,1694,2,2,636,0,1686,1694,2,2,1,7,2004,2005,186.0,307000
6,2090,2,3,484,2,1107,1107,3,2,1,7,1973,1973,240.0,200000
6,1774,2,3,468,3,952,1022,3,2,2,8,1931,1950,0.0,129900
4,1077,1,3,205,3,991,1077,3,1,1,5,1939,1950,0.0,118000
4,1040,1,3,384,3,1040,1040,3,1,2,5,1965,1965,0.0,129500
8,2324,3,0,736,0,1175,1182,0,3,0,11,2005,2006,286.0,345000
4,912,1,3,352,3,912,912,3,1,2,4,1962,1962,0.0,144000
6,1494,3,2,840,2,1494,1494,2,2,1,7,2006,2007,306.0,279500
5,1253,1,3,352,3,1253,1253,3,1,1,5,1960,1960,212.0,157000
6,854,2,3,576,3,832,854,3,1,2,5,1929,2001,0.0,132000
5,1004,2,3,480,3,1004,1004,3,1,0,5,1970,1970,180.0,149000
3,1296,2,3,516,4,0,1296,3,2,2,6,1967,1967,0.0,90000
4,1114,2,3,576,3,1114,1114,2,1,2,6,2004,2004,0.0,159000
4,1339,1,3,294,3,1029,1339,3,1,2,6,1958,1965,0.0,139000
7,2376,3,2,853,0,1158,1158,2,3,1,9,2005,2006,380.0,325300
6,1108,1,3,280,3,637,1108,2,1,2,6,1930,1950,0.0,139400
7,1795,2,2,534,2,1777,1795,2,2,1,7,2002,2002,281.0,230000
4,1060,2,3,572,2,1040,1060,3,1,2,6,1976,1976,0.0,129900
4,1060,1,3,270,3,1060,1060,2,1,2,6,1968,2001,0.0,154000
7,1600,3,2,890,2,1566,1600,2,2,1,7,2007,2007,640.0,256300
4,900,2,3,576,3,900,900,2,1,2,5,1951,2000,0.0,134800
7,1704,3,2,772,0,1704,1704,2,2,1,7,2007,2008,200.0,306000
4,1600,1,3,319,3,1484,1600,3,1,1,6,1957,1997,0.0,207500
3,520,1,3,240,3,520,520,1,1,2,4,1927,1950,0.0,68500
3,1317,1,3,250,3,649,649,3,1,2,6,1920,1950,0.0,40000
4,1228,1,3,271,3,1228,1228,2,1,2,6,1966,2006,0.0,149350
7,1234,2,2,484,0,1234,1234,2,2,1,7,2007,2007,0.0,179900
4,1700,2,3,447,3,1398,1700,2,1,1,6,1959,1959,0.0,165500
8,1561,2,0,556,0,1561,1561,0,2,0,6,2005,2005,246.0,277500
7,2452,3,2,691,0,1117,1132,2,3,0,9,2004,2005,132.0,309000
4,1097,2,3,672,2,1097,1097,3,1,2,6,1994,1995,0.0,145000
4,1297,2,3,498,3,1297,1297,3,1,0,5,1954,1990,650.0,153000
4,1057,1,3,246,3,1057,1057,2,1,2,5,1953,2007,0.0,109000
3,1152,0,3,0,4,0,1152,1,2,3,6,1955,1955,0.0,82000
5,1324,2,3,440,3,1088,1324,3,2,1,6,1965,1965,101.0,160000
4,1328,1,3,308,3,1350,1328,3,1,1,5,1959,1959,0.0,170000
4,884,2,3,504,2,840,884,2,1,1,5,1983,1983,0.0,144000
4,938,1,3,308,2,938,938,3,1,2,5,1975,1980,0.0,130250
4,1150,1,3,300,3,1150,1150,3,1,1,6,1959,1959,0.0,141000
8,1752,2,0,576,0,1752,1752,0,2,1,6,2005,2005,412.0,319900
6,2149,2,2,670,0,1434,1518,2,1,1,6,2003,2003,0.0,239686
7,1656,3,2,826,2,1656,1656,2,2,1,7,2006,2006,0.0,249700
3,1452,0,3,0,3,736,736,3,2,3,8,1920,2008,0.0,113000
4,955,1,3,386,3,955,955,3,1,2,6,1966,1966,0.0,127000
5,1470,2,3,388,2,794,794,3,2,0,6,1997,1997,0.0,177000
5,1176,2,3,528,3,816,816,3,1,2,6,1934,1950,0.0,114500
4,816,2,1,516,2,816,816,3,1,2,5,1963,1963,0.0,110000
8,1842,3,2,894,0,1842,1842,2,0,0,5,1981,1987,0.0,385000
4,1360,2,3,572,3,384,1360,3,1,2,6,1955,1955,0.0,130000
5,1425,2,3,576,3,1425,1425,3,2,1,7,1964,1964,272.0,180500
7,1739,2,2,480,2,970,983,2,2,0,7,1999,2000,456.0,172500
6,1720,2,2,565,2,860,860,2,2,1,7,2004,2004,0.0,196500
9,2945,3,0,641,0,1410,1426,2,3,0,10,2006,2006,1031.0,438780
4,780,1,3,352,3,780,780,3,1,2,4,1972,1972,0.0,124900
5,1158,2,3,576,2,1158,1158,2,1,2,5,2004,2004,0.0,158000
4,1111,1,3,288,3,530,581,1,1,2,6,1920,1996,0.0,101000
7,1370,2,2,484,2,1370,1370,2,2,1,6,2006,2006,178.0,202500
6,1710,2,3,480,3,576,902,3,2,2,9,1921,1950,0.0,140000
6,2034,2,3,645,2,1057,1057,2,2,1,8,1997,1998,573.0,219500
7,2473,3,2,852,0,1143,1143,2,2,1,9,2004,2005,344.0,317000
6,2207,2,3,576,2,1947,2207,3,2,1,7,1970,1989,287.0,180000
